stop_id,stop_name,stop_lat,stop_lon,stop_desc
1000,Frederick / King,43.449667,-80.487195,EasyGO1000
1001,Frederick / Irvin,43.452327,-80.48418,EasyGO1001
1002,Frederick / Otto,43.453003,-80.482905,EasyGO1002
1003,Frederick / Samuel,43.454832,-80.479506,EasyGO1003
1004,Frederick / Merner,43.456218,-80.476897,EasyGO1004
1006,Frederick Street Mall,43.457928,-80.473572,EasyGO1006
1007,Frederick / Ann,43.459292,-80.469787,EasyGO1007
1008,Frederick / Bruce,43.4599946,-80.4675152,EasyGO1008
1009,Frederick / Lois,43.46092,-80.464627,EasyGO1009
1010,Frederick / River,43.461831,-80.46165777,EasyGO1010
1011,River / Islington,43.459288,-80.458902,EasyGO1011
1012,River / Manchester,43.458467,-80.454168,EasyGO1012
1013,River / Halliwell,43.457475,-80.450417,EasyGO1013
1014,River / Hickson,43.454288,-80.446665,EasyGO1014
1015,River / Path To Secord,43.45284,-80.445712,EasyGO1015
1016,River / Ottawa,43.451233,-80.444683,EasyGO1016
1017,River / Stanley Park Mall,43.448708,-80.443133,EasyGO1017
1018,River / Conway,43.447285,-80.442388,EasyGO1018
1019,River / Bradley,43.445728,-80.441425,EasyGO1019
1020,Kenora / Wren,43.444812,-80.439733,EasyGO1020
1021,Kenora / Parkview,43.445825,-80.437942,EasyGO1021
1022,Kenora / Old Chicopee,43.447135,-80.435653,EasyGO1022
1023,Old Chicopee / Edenbridge,43.447793,-80.436033,EasyGO1023
1024,Edenbridge / Darlington,43.448642,-80.433355,EasyGO1024
1025,Edenbridge / Oldfield,43.448917,-80.428858,EasyGO1025
1026,Oldfield / Batterswood,43.450825,-80.429715,EasyGO1026
1027,Oldfield / Casey,43.453003,-80.430713,EasyGO1027
1028,Shaftsbury / Holborn,43.453703,-80.43213,EasyGO1028
1029,Shaftsbury / Ottawa,43.454457,-80.433667,EasyGO1029
1030,Ottawa / Oldfield,43.455388,-80.432517,EasyGO1030
1031,Ottawa / Lackner,43.45671,-80.431618,EasyGO1031
1032,Lackner / Plaza,43.456695,-80.429128,EasyGO1032
1033,Lackner / Path To Gray,43.45587,-80.428012,EasyGO1033
1034,Lackner / Quaiser,43.451868,-80.42481,EasyGO1034
1035,Lackner / Oldfield,43.449693,-80.423827,EasyGO1035
1036,Lackner / Daimler,43.447017,-80.42144,EasyGO1036
1037,Lackner / Corfield,43.444772,-80.416537,EasyGO1037
1038,Fairway / Idle Creek,43.441435,-80.418078,EasyGO1038
1039,Fairway / Old Chicopee,43.436777,-80.42629,EasyGO1039
1040,Fairway / Grulke,43.433277,-80.429143,EasyGO1040
1041,Fairway / Morgan,43.430213,-80.431948,EasyGO1041
1042,Fairway / King,43.428827,-80.432143,EasyGO1042
1043,Fairway / King,43.427547,-80.432882,EasyGO1043
1044,Fairway / Wabanaki,43.422715,-80.437213,EasyGO1044
1045,Fairway / Fairview Park,43.421823,-80.439085,EasyGO1045
1046,Fairview Park Terminal,43.422838,-80.440838,EasyGO1046
1047,Fairway / Walmart,43.424008,-80.434677,EasyGO1047
1048,Fairway / King,43.428883,-80.431855,EasyGO1048
1049,Fairway / Morgan,43.430452,-80.431652,EasyGO1049
1050,Fairway / Thaler,43.432223,-80.42991,EasyGO1050
1051,Fairway / Grulke,43.433375,-80.428873,EasyGO1051
1052,Fairway / North Hill,43.435613,-80.42759,EasyGO1052
1053,Fairway / Fairway Cr.,43.441452,-80.417823,EasyGO1053
1054,Lackner / Corfield,43.44449,-80.415998,EasyGO1054
1055,Lackner / Daimler,43.446927,-80.420418,EasyGO1055
1056,Lackner / Zeller,43.449727,-80.42365,EasyGO1056
1057,Ottawa / Oldfield,43.456417,-80.432047,EasyGO1057
1058,Shaftsbury / Holborn,43.45361,-80.432197,EasyGO1058
1059,Oldfield / Jadestone,43.452395,-80.430773,EasyGO1059
1060,Oldfield / Drumoak,43.45078,-80.429868,EasyGO1060
1061,Oldfield / Springmount,43.448875,-80.426877,EasyGO1061
1062,Oldfield / Lackner,43.449802,-80.424072,EasyGO1062
1063,Edenbridge / Charleston,43.448948,-80.429197,EasyGO1063
1064,Edenbridge / Darlington,43.448697,-80.433367,EasyGO1064
1065,Edenbridge / Old Chicopee,43.448088,-80.435902,EasyGO1065
1066,Kenora / Wayne,43.445795,-80.43827,EasyGO1066
1067,Kenora / River,43.444765,-80.440157,EasyGO1067
1068,River / Bradley,43.445873,-80.441332,EasyGO1068
1069,River / Conway,43.44719,-80.442152,EasyGO1069
1070,River / Stanley Park Mall,43.449525,-80.443333,EasyGO1070
1071,River / Ottawa,43.451408,-80.444552,EasyGO1071
1072,River / Path To Secord,43.453358,-80.445827,EasyGO1072
1073,River / Halliwell,43.457685,-80.45041,EasyGO1073
1074,River / Manchester,43.458802,-80.45486,EasyGO1074
1075,River / Islington,43.45949,-80.459002,EasyGO1075
1076,Frederick / River,43.461923,-80.461955,EasyGO1076
1077,Frederick / Lois,43.461177,-80.46435,EasyGO1077
1078,Frederick / Ethel,43.460542,-80.466342,EasyGO1078
1079,Frederick / Bruce,43.460068,-80.467853,EasyGO1079
1080,Frederick / Edna,43.458515,-80.472747,EasyGO1080
1081,Frederick / Ann,43.459367,-80.470082,EasyGO1081
1082,Frederick / Filbert,43.456532,-80.476608,EasyGO1082
1083,Westwood / Westmount,43.446563,-80.523716,EasyGO1083
1084,Frederick / Gordon,43.45479,-80.479888,EasyGO1084
1085,Frederick / Lancaster,43.453507,-80.482377,EasyGO1085
1086,Frederick / Irvin,43.4524,-80.484435,EasyGO1086
1087,Frederick / Weber,43.451742,-80.485697,EasyGO1087
1088,Frederick / King,43.449915,-80.487397,EasyGO1088
1089,Benton / Charles,43.448535,-80.488312,EasyGO1089
1090,University / Seagram,43.469288,-80.538617,EasyGO1090
1093,Columbia / Phillip,43.476818,-80.5408,EasyGO1093
1094,Columbia / U.W. Optometry,43.475522,-80.544382,EasyGO1094
1096,Columbia / Village 1,43.47316,-80.550983,EasyGO1096
1097,Columbia / Ron Eydt Village,43.471577,-80.55539,EasyGO1097
1098,Columbia / Old Post,43.470135,-80.559598,EasyGO1098
1099,Columbia / Beechlawn,43.46958789,-80.56111218,EasyGO1099
1100,Columbia / Fischer-Hallman,43.466992,-80.568283,EasyGO1100
1101,Columbia / Gatestone,43.465907,-80.570812,EasyGO1101
1102,Columbia / Gatestone,43.46533398,-80.57294754,EasyGO1102
1104,Columbia / Cavendish,43.46401,-80.576783,EasyGO1104
1105,Columbia / Erbsville,43.462472,-80.580773,EasyGO1105
1106,Erbsville / Willowwood,43.465173,-80.584187,EasyGO1106
1107,Laurelwood / Erbsville,43.471462,-80.592458,EasyGO1107
1108,Laurelwood / Birchmount,43.472752,-80.589498,EasyGO1108
1109,Laurelwood / Brookmill,43.472042,-80.585092,EasyGO1109
1110,Laurelwood / Beaver Crk. Cr.,43.471615,-80.581587,EasyGO1110
1111,Laurelwood / Beaver Crk. Rd.,43.472233,-80.579393,EasyGO1111
1112,Laurelwood / Laurel Gate,43.474318,-80.574573,EasyGO1112
1113,Path To Laurel Gate,43.472557,-80.571113,EasyGO1113
1114,Fischer-Hallman / Gatestone,43.470683,-80.568997,EasyGO1114
1115,Fischer-Hallman / Columbia,43.468558,-80.567125,EasyGO1115
1116,Columbia / Fischer-Hallman,43.46799,-80.56497,EasyGO1116
